species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022;mesophyll_thickness;stomatal_conductance;substomatal_conc;compensation_point;ias_conductance;mesophyll_conductance*;d_mesophyll_conductance*;d_stomatal_conductance;d_ias_conductance;gamma;dgamma_low;dgamma_high;tau;dtau_low;dtau_high
Ligustrum vulgare;;Oleaceae;deciduous angiosperms;;Fini_2016;0,068;;0,012;4,0;mol m-2 s-1;0,068;0,056;F;variable J;Harley_1992;;1300,0;;28,0;leaf;;;;;;;50,0;1,89;;;6,0;LI-6400;Mini-PAM;;fully expanded leaves;;;;;screenhouse;0;1;2,5;580,0;;;;;;730,0;6,56;0,056;222,0;125,0;97,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105,7;;;0,311;;;;;;;;;;;;;;;0,37;;;;;;13,4;9,9;;;;;;;Figure 1c: the highest value (shade leaves!);0;1;105,7;0,056;222,0;39,8982;2,525520137368806;0,03602380646429634;0,0036023806464296343;0,005600000000000001;0,2525520137368806;0,04502033666571251;0,006002569450047325;0,005780372894650228;0,1703198276519193;0,012103431006156518;0,012656352938117038
Macadamia integrifolia;;Proteaceae;evergreen angiosperms;;Syvertsen_1995;0,113;;;2,0;mol m-2 s-1 bar-1;0,108;0,108;I;single point;Lloyd_1992;95,3;;;25,0;leaf;;;;346,0;346,0;;65,0;1,1;;;;;;;representative leaves of healthy appearance;;;;;;0;1;;;;;;;;1096,0;9,5;0,088;207,8;157,0;50,8;;;;;;;;49,65;49,65;Jordan_1984;;;;;;;;;;;;;;;;1,093;0,769;;;;;;;;;;;;;;;;0,431;;;;142,0;;283,0;0,771;256,0;;;0,38;;;;;;;;;;;;;;;;;;;2,7;;24,4;15,2;;;;;;;Table 1: Macadamia;0;1;256,0;0,088;207,8;39,8982;1,2741162811188136;0,05658069180914082;0,005658069180914082;0,0088;0,12741162811188136;0,13917539325596653;0,019351953543046557;0,017517472083792618;0,303709943987141;0,021356949909742073;0,02346589866482024
Macrozamia riedlei;;Zamiaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,034;;;;mol m-2 s-1;0,034;0,034;F;variable J;Harley_1992;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;400,0;250,0;53,0;1,5;;;8,0;GFS-3000;PAM 3055-FL;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;7,0;0,029;;;75,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,838;1,326;;;;;;;;;;;;;;;;;;;;138,6;;304,6;0,455;268,6;;;0,2;;;;;;;;;;;;;;;0,37;0,218;3,92;;;;13,23;12,83;;47,39;36,42;16,19;;;personal communication Veromann-Juergenson (2020);0;1;268,6;0,029;158,6206896551724;39,8982;0,639130320896689;0,05896102769013174;0,005896102769013175;0,0029000000000000002;0,0639130320896689;0,09043975488634386;0,011756623015171594;0,012446225307192485;0,44352702224810914;0,03279655670737186;0,03277911275659007
Macrozamia riedlei;;Zamiaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,063;;;;mol m-2 s-1;0,063;0,063;C;;Ethier_2004;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;;;53,0;1,5;;;8,0;GFS-3000;;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;7,0;0,029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,838;1,326;;;;;;;;;;;;;;;;;;;;138,6;;304,6;0,455;268,6;;;0,2;;;;;;;;;;;;;;;0,37;0,218;3,92;;;;13,23;12,83;;;;;;;personal communication Veromann-Juergenson (2020);0;1;268,6;0,029;158,6206896551724;39,8982;0,639130320896689;0,05896102769013174;0,005896102769013175;0,0029000000000000002;0,0639130320896689;0,09207478928183013;0,012646579007879383;0,012911116133965062;0,44582845058640486;0,03222192186963874;0,03429239039870852
Metasequoia glyptostroboides;;Cupressaceae;deciduous gymnosperms;;Veromann-Juergenson_2017;0,063;;;;mol m-2 s-1;0,063;0,063;F;variable J;Harley_1992;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;400,0;250,0;53,0;1,5;;;8,0;GFS-3000;PAM 3055-FL;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;244,0;8,64;0,078;;;116,0;;;;;;;;;;;;;;;;;;;;;;;;;;0,57;1,086;;;;;;;;;;;;;;;;;;;;52,4;;247,4;0,212;232,3;;;0,29;;;;;;;;;;;;;;;0,26;0,091;1,97;;;;14,27;14,27;;15,04;52,41;32,55;;;personal communication Veromann-Juergenson (2020);0;0;232,3;0,078;289,2307692307692;39,8982;1,0715543955214526;0,034652512612595214;0,0034652512612595218;0,0078000000000000005;0,10715543955214527;0,14586350227513203;0,021591388293053557;0,019885871379738046;0,25768300510579123;0,019176920882890275;0,017379180237138803
Metasequoia glyptostroboides;;Cupressaceae;deciduous gymnosperms;;Veromann-Juergenson_2017;0,058;;;;mol m-2 s-1;0,058;0,058;C;;Ethier_2004;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;;;53,0;1,5;;;8,0;GFS-3000;;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;244,0;8,64;0,078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,57;1,086;;;;;;;;;;;;;;;;;;;;52,4;;247,4;0,212;232,3;;;0,29;;;;;;;;;;;;;;;0,26;0,091;1,97;;;;14,27;14,27;;;;;;;personal communication Veromann-Juergenson (2020);0;0;232,3;0,078;289,2307692307692;39,8982;1,0715543955214526;0,034652512612595214;0,0034652512612595218;0,0078000000000000005;0,10715543955214527;0,14930748593686513;0,022209219552480952;0,02117555890213782;0,25785641221979366;0,016260560687494013;0,019256079705536278
Nicotiana sylvestris;;Solanaceae;C3 annual herbaceous;;Clemente-Moreno_2019;0,12;;0,01;9,0;mol m-2 s-1;0,12;0,12;F;;Harley_1992;;1000,0;10,0;25,0;block;;;;400,0;400,0;;53,0;1,5;;;2,0;LI-6400;LI-6400-40;2 hours after start of photoperiod to midday;third and fourth fully expanded young leaves when counting from the apex;;;;;growth chamber;0;1;;200,0;25,0;23,0;;;16,0;56,0;12,6;0,152;296,6;183,2;113,4;1,18;;5,3;;;;;106,7;106,7;;Bernacchi_2002;;;;;119,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43,9;;235,6;;191,9;79,1;112,8;0,302;;31,0;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;Table S1: control;0;1;191,9;0,152;296,6;39,8982;1,3508197515956462;0,04908419029395196;0,004908419029395196;0,0152;0,13508197515956463;0,22992265196135336;0,033946436152452075;0,03154894972087924;0,2741435943622274;0,01919533766455478;0,02054228406932157
Nicotiana tabacum;;Solanaceae;C3 annual herbaceous;;Carriqui_2019a;0,138;;;6,0;mol m-2 s-1;0,138;0,138;F;variable J;Harley_1992;;1500,0;10,0;25,0;block;0,0;2000,0;15,0;400,0;400,0;;53,0;1,5;;300,0;2,0;LI-6400;LI-6400-40;09:00-19:00;;;;;;growth chamber;0;1;4,0;300,0;25,0;20,0;;;12,0;45,0;16,0;;282,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205,0;;170,0;;;0,43;;;;;;;;;;;;;;;0,128;0,3;3,44;5,6;;;10,1;8,0;;;;;;;Figure 1: HL (high light) only (Ca=400, see Table 1);0;1;170,0;0,135593220338983;282,0;39,8982;2,1711257000860527;0,06608790186607452;0,006608790186607452;0,0135593220338983;0,2171125700086053;0,12483970951029331;0,016169303606600502;0,017443029994439294;0,2505433784592128;0,019188965767273553;0,019507924787274922
Nicotiana tabacum;line SR;Solanaceae;C3 annual herbaceous;;Kawase_2013;0,106;;0,01;9,0;mol m-2 s-1;0,106;0,106;I;;Scartazza_1998;;700,0;;25,0;leaf;;;;360,0;360,0;;83,0;0,55;;;;;Finnigan MAT 252;;intact leaves;;;;;growth chamber;0;1;0,5;300,0;25,0;18,0;70,0;;16,0;30,0;9,87;0,414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,78;;;;;;;;;;;280,0;;;;;0,49;;;;;;;;;;;;;;;;;;;;;13,2;8,9;;;;;;;Figure 3c: SR line;0;1;231,22133605626877;0,414;336,15942028985506;39,8982;1,8190038058171718;0,03331519390335132;0,003331519390335132;0,0414;0,1819003805817172;0,45662913694986534;0,06003622885669835;0,06080027118399728;0,19260847126762376;0,01345416615222067;0,01286025876231453
Olea europaea;cv Leccino;Oleaceae;evergreen angiosperms;;Marchi_2008;0,156;0,016;;3,0;mol m-2 s-1;0,156;0,141;S;;Evans_1988, Miyazawa_2001;;1200,0;;26,5;chamber;;;;380,0;;;57,0;1,5;;;;LI-6400;;;75-100% full leaf surface expansion;;10,38;43,72;;outdoors;0;1;1,5;;;;;;;365,0;13,9;0,042;243,0;131,0;112,0;;1,1;;;;;;44,0;38,56;Jordan_1984;;;159,2;;;;;;;;;;;;;2,8;2,4;;;;;;;;;;;1,81;;;0,675;;0,348;;;;116,0;;310,0;;269,0;108,0;161,0;0,6;;;;;;;304,0;;;;;;;;;;;;;;30,0;;;;;;35,0;50,0;Figure 3a: stage 3;0;1;269,0;0,042;243,0;39,8982;1,9145398237120892;0,06843858597018836;0,006843858597018836;0,004200000000000001;0,19145398237120892;0,04438246737744434;0,005956499784091282;0,006396902531141731;0,2723505937856437;0,019806183676286393;0,018966856721619185
Oryza alta;;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,168;;0,042;;mol m-2 s-1 bar-1;0,155;0,112;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;17,45;0,263;288,6;176,3;112,3;;;;;;;;;;;;;;;;;;;;;-26,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;74,1;;;;;0,25;;;;;;187,3;216,9;;;;;11,7;8,87;;0,163;;;;;;8,9;7,93;;;;;;;Table S3;0;1;61,191075006319686;0,263;288,6;39,8982;3,5068513703820554;0,07016434943373952;0,007016434943373952;0,026300000000000004;0,3506851370382056;0,15077551065529549;0,021113186740295276;0,020799885205347174;0,2013438509294898;0,014982010252560851;0,014306907108765893
Oryza australiensis;;Poaceae;C3 perennial herbaceous;;Scafaro_2011;0,42;;;;mol m-2 s-1 bar-1;0,42;0,42;I;;Tazoe_2011;;1500,0;;25,0;leaf;;;;380,0;380,0;;;;21,0;;;LI-6400;TGA100A;;healthy, fully expanded leaves;;;;;glasshouse;0;1;10,0;;28,0;22,0;;;;52,0;21,19;;288,8;;;;;;;;;;;;;;;;;;;;;;20,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83,8;;69,5;;;0,082;;;;;;;;;;;;;;;0,216;;;;;7,0;13,2;12,5;;;;;;;Text on page 2002 (also shown in Figure 4a);0;1;69,5;0,2323464912280702;288,8;39,8982;1,0127318808499106;0,08513397653211026;0,008513397653211026;0,02323464912280702;0,10127318808499107;0,46221697345598045;0,06343009899986135;0,06445132228484929;0,42261035049967294;0,02979617340375812;0,030986339184146283
Oryza australiensis;Accession IRGC 101397;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,307;;0,042;;mol m-2 s-1 bar-1;0,283;0,204;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;22,45;0,244;259,2;200,0;59,2;;;;;;;;;;;;;;;;;;;;;-26,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;125,3;;;;;0,28;;;;;;227,1;260,4;;;;;16,13;15,3;;0,17;;;;;;17,6;17,15;;;;;;;Table S3;0;1;103,47154788518026;0,244;259,2;39,8982;2,3227502707960697;0,10237034078151662;0,010237034078151663;0,0244;0,23227502707960698;0,2115239523427429;0,029126354260505194;0,030329455316991438;0,3017462099805066;0,020938035441762315;0,02113734561746683
Oryza australiensis;Accession IRGC 105277;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,555;;0,042;;mol m-2 s-1 bar-1;0,511;0,369;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;22,3;0,181;226,6;181,5;45,1;;;;;;;;;;;;;;;;;;;;;-27,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;115,6;;;;;0,234;;;;;;201,8;194,5;;;;;18,57;19,03;;0,135;;;;;;17,15;16,6;;;;;;;Table S3;0;1;95,46138017180238;0,181;226,6;39,8982;2,104038015626388;0,11944180506026188;0,011944180506026188;0,0181;0,2104038015626388;0,1762152122318347;0,02713653560440732;0,023579937783165;0,34320908430431185;0,024683077955826194;0,02613774128524382
Oryza barthii;;Poaceae;C3 annual herbaceous;;Giuliani_2013;0,154;;0,042;;mol m-2 s-1 bar-1;0,142;0,103;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;21,64;0,221;257,6;168,3;89,4;;;;;;;;;;;;;;;;;;;;;-25,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,5;;;;;0,204;;;;;;340,7;394,0;;;;;16,53;15,27;;0,16;;;;;;17,25;14,25;;;;;;;Table S3;0;1;75,55982946124496;0,221;257,6;39,8982;2,3174193685352265;0,09940202607419873;0,009940202607419873;0,0221;0,23174193685352265;0,19419737314864133;0,027511602810442626;0,028704050120935826;0,29703699233599695;0,022056929417877125;0,02471675278304092
Oryza brachyantha;;Poaceae;C3 annual herbaceous;;Giuliani_2013;0,067;;0,042;;mol m-2 s-1 bar-1;0,062;0,045;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;9,65;0,124;302,3;144,5;157,8;;;;;;;;;;;;;;;;;;;;;-25,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,8;;;;;0,158;;;;;;432,9;297,7;;;;;10,5;9,67;;0,155;;;;;;12,7;11,15;;;;;;;Table S3;0;1;47,73069008590119;0,124;302,3;39,8982;2,841350482640763;0,03677566236207221;0,0036775662362072215;0,012400000000000001;0,2841350482640763;0,0883898960375461;0,011836801385409962;0,011729324375852113;0,16184944435808754;0,011310496726421149;0,011253091397276871
Oryza coarctata;;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,051;;0,042;;mol m-2 s-1 bar-1;0,047;0,034;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;10,51;0,082;238,6;96,7;141,8;;;;;;;;;;;;;;;;;;;;;-25,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;113,1;;;;;0,215;;;;;;501,0;156,8;;;;;16,47;16,47;;0,19;;;;;;24,43;23,4;;;;;;;Table S3;0;0;93,39690395701426;0,082;238,6;39,8982;1,975929358346303;0,05289333060898291;0,005289333060898291;0,0082;0,1975929358346303;0,08529514106007276;0,012126644309050569;0,012111053649809439;0,23449341010118446;0,016764945938233577;0,017984965517889917
Oryza glaberrima;;Poaceae;C3 annual herbaceous;;Giuliani_2013;0,4;;0,042;;mol m-2 s-1 bar-1;0,368;0,266;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;27,09;0,232;264,6;201,3;63,3;;;;;;;;;;;;;;;;;;;;;-26,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,2;;;;;0,207;;;;;;299,3;390,6;;;;;15,77;12,97;;0,165;;;;;;10,03;6,27;;;;;;;Table S3;0;1;70,35734939997892;0,232;264,6;39,8982;2,52537751713048;0,12055978189760828;0,012055978189760829;0,023200000000000002;0,252537751713048;0,18557910550441153;0,025090278676873135;0,027043965551829197;0,3136619078388434;0,023651090595715463;0,023838119692580595
Oryza glaberrima;;Poaceae;C3 annual herbaceous;;Giuliani_2013;0,358;;;;mol m-2 s-1 bar-1;0,33;0,238;I;single point;Evans_1986;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;;LI-6400XT;TGA200A;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;27,09;0,232;264,6;201,3;63,3;;;;;;;;;;;;;;;;;;;;;-26,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,2;;;;;0,207;;;;;;299,3;390,6;;;;;15,77;12,97;;0,165;;;;;;10,03;6,27;;;;;;;Text page 1648;0;1;70,35734939997892;0,232;264,6;39,8982;2,52537751713048;0,12055978189760828;0,012055978189760829;0,023200000000000002;0,252537751713048;0,18664181347357722;0,028097035444445112;0,026944854426409787;0,3141207466515207;0,024998157822636258;0,021665466926866495
Oryza glumaepatula;;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,329;;0,042;;mol m-2 s-1 bar-1;0,303;0,219;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;25,82;0,286;257,6;175,2;82,3;;;;;;;;;;;;;;;;;;;;;-26,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;72,1;;;;;0,187;;;;;;295,2;409,6;;;;;12,53;11,0;;0,13;;;;;;8,77;7,9;;;;;;;Table S3;0;1;59,5394940344892;0,286;257,6;39,8982;2,6958883430775598;0,11860260227522233;0,011860260227522235;0,0286;0,269588834307756;0,21360768795869553;0,029055885051387842;0,027442968866436074;0,30100548228156526;0,021298314627466175;0,02241344802919576
Oryza glumaepatula;;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,411;;;;mol m-2 s-1 bar-1;0,379;0,274;I;single point;Evans_1986;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;;LI-6400XT;TGA200A;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;25,82;0,286;257,6;175,2;82,3;;;;;;;;;;;;;;;;;;;;;-26,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;72,1;;;;;0,187;;;;;;295,2;409,6;;;;;12,53;11,0;;0,13;;;;;;8,77;7,9;;;;;;;Text page 1648;0;1;59,5394940344892;0,286;257,6;39,8982;2,6958883430775598;0,11860260227522233;0,011860260227522235;0,0286;0,269588834307756;0,21572320755625712;0,030453805266005024;0,030659870223238433;0,30224444411825124;0,01947359601776233;0,022231325232841048
Oryza latifolia;Accession IRGC 100959;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,172;;0,042;;mol m-2 s-1 bar-1;0,158;0,115;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;16,42;0,156;255,2;150,2;105,0;;;;;;;;;;;;;;;;;;;;;-24,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,9;;;;;0,26;;;;;;147,3;185,6;;;;;15,83;15,17;;0,145;;;;;;11,43;10,17;;;;;;;Table S3;0;1;80,84488857110254;0,156;255,2;39,8982;2,7604902350063605;0,07626503819289947;0,007626503819289947;0,015600000000000001;0,27604902350063604;0,11319584559746465;0,016441453591506963;0,015452406083007353;0,23747350999967054;0,01815388360769532;0,017086784779617614
Oryza longistaminata;Accession IRGC 101207;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,363;;0,042;;mol m-2 s-1 bar-1;0,334;0,242;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;23,97;0,245;253,3;179,2;74,2;;;;;;;;;;;;;;;;;;;;;-26,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,9;;;;;0,172;;;;;;236,3;244,4;;;;;14,05;16,0;;0,18;;;;;;12,55;11,9;;;;;;;Table S3;0;1;66,80645031054337;0,245;253,3;39,8982;2,2099145654285963;0,11232332623248725;0,011232332623248726;0,0245;0,22099145654285965;0,22317280316059954;0,031314720979858185;0,03392821306909313;0,3251660339043616;0,02179404911767513;0,023500020807713184
Oryza meridionalis;;Poaceae;C3 annual herbaceous;;Giuliani_2013;0,367;;0,042;;mol m-2 s-1 bar-1;0,338;0,244;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;22,1;0,271;270,4;171,7;98,7;;;;;;;;;;;;;;;;;;;;;-26,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;67,4;;;;;0,227;;;;;;234,2;218,4;;;;;14,93;13,4;;0,18;;;;;;11,7;7,83;;;;;;;Table S3;0;1;55,65827875068755;0,271;270,4;39,8982;3,500753403310708;0,09587777622560867;0,009587777622560868;0,027100000000000003;0,3500753403310708;0,15675502308394434;0,022044829342946215;0,021714252520016186;0,23672053419526243;0,015112462822099604;0,016673081692287678
Oryza meridionalis;;Poaceae;C3 annual herbaceous;;Scafaro_2011;0,5;;;;mol m-2 s-1 bar-1;0,5;0,5;I;;Tazoe_2011;;1500,0;;25,0;leaf;;;;380,0;380,0;;;;21,0;;;LI-6400;TGA100A;;healthy, fully expanded leaves;;;;;glasshouse;0;1;10,0;;28,0;22,0;;;;52,0;22,94;;285,3;;;;;;;;;;;;;;;;;;;;;;19,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78,0;;64,7;;;0,077;;;;;;;;;;;;;;;0,235;;;;;7,3;14,6;14,2;;;;;;;Text on page 2002 (also shown in Figure 4a);0;1;64,7;0,2422386483632524;285,3;39,8982;1,0215317714721406;0,0934793469322556;0,00934793469322556;0,024223864836325243;0,10215317714721406;0,48324172429188866;0,0661709143695593;0,07465455056237574;0,44394168772460163;0,03421866670777407;0,03145144758814883
Oryza minuta;;Poaceae;C3 perennial herbaceous;;Giuliani_2013;0,206;;0,042;;mol m-2 s-1 bar-1;0,19;0,137;F;variable J;Harley_1992;92,1;1500,0;10,0;30,0;leaf;20,0;1498,0;;380,0;380,0;;70,0;1,25;20,0;;2,0;LI-6400XT;LI-6400-40;09:00-16:00;mid-distal portion of each leaf blade;;;;;controlled-environment growth chamber;0;1;3,0;1100,0;28,0;25,0;70,0;;12,0;30,0;16,75;0,164;247,1;150,2;97,0;;;;;;;;;;;;;;;;;;;;;-25,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,8;;;;;0,172;;;;;;212,1;276,5;;;;;12,67;12,57;;0,19;;;;;;12,65;12,25;;;;;;;Table S3;0;1;66,72387126195183;0,164;247,1;39,8982;2,2126496082075926;0,08083906606988936;0,008083906606988937;0,0164;0,22126496082075928;0,15075283742277817;0,020361653780836375;0,02059309414336838;0,2746930708927314;0,020500880023976764;0,01966454463124534
